item_id,tanggal,jumlah_terjual,harga_item
MDA382,2025-01-25,41,5000
MDA382,2025-01-26,36,5000
MDA382,2025-01-27,4,5000
MDA382,2025-01-28,26,5000
MDA382,2025-01-29,42,5000
MDA382,2025-01-30,37,5000
MDA382,2025-01-31,45,5000
MDA382,2025-02-01,31,5000
MDA382,2025-02-02,20,5000
MDA382,2025-02-03,48,5000
MDA382,2025-02-04,8,5000
MDA382,2025-02-05,36,5000
MDA382,2025-02-06,22,5000
MDA382,2025-02-07,16,5000
MDA382,2025-02-08,9,5000
MDA382,2025-02-09,11,5000
MDA382,2025-02-10,8,5000
MDA382,2025-02-11,17,5000
MDA382,2025-02-12,8,5000
MDA382,2025-02-13,43,5000
MDA382,2025-02-14,12,5000
MDA382,2025-02-15,49,5000
MDA382,2025-02-16,7,5000
MDA382,2025-02-17,8,5000
MDA382,2025-02-18,25,5000
MDA382,2025-02-19,31,5000
MDA382,2025-02-20,30,5000
MDA382,2025-02-21,34,5000
MDA382,2025-02-22,46,5000
MDA382,2025-02-23,32,5000
MDA382,2025-02-24,17,5000
MDA382,2025-02-25,29,5000
MDA382,2025-02-26,36,5000
MDA382,2025-02-27,20,5000
MDA382,2025-02-28,11,5000
MDA382,2025-03-01,5,5000
MDA382,2025-03-02,2,5000
MDA382,2025-03-03,29,5000
MDA382,2025-03-04,17,5000
MDA382,2025-03-05,39,5000
MDA382,2025-03-06,50,5000
MDA382,2025-03-07,14,5000
MDA382,2025-03-08,46,5000
MDA382,2025-03-09,38,5000
MDA382,2025-03-10,30,5000
MDA382,2025-03-11,36,5000
MDA382,2025-03-12,13,5000
MDA382,2025-03-13,4,5000
MDA382,2025-03-14,46,5000
MDA382,2025-03-15,11,5000
MDA382,2025-03-16,11,5000
MDA382,2025-03-17,43,5000
MDA382,2025-03-18,13,5000
MDA382,2025-03-19,9,5000
MDA382,2025-03-20,18,5000
MDA382,2025-03-21,9,5000
MDA382,2025-03-22,2,5000
MDA382,2025-03-23,7,5000
MDA382,2025-03-24,47,5000
MDA382,2025-03-25,7,5000
MDA382,2025-03-26,7,5000
MDA382,2025-03-27,45,5000
MDA382,2025-03-28,1,5000
MDA382,2025-03-29,22,5000
MDA382,2025-03-30,26,5000
MDA382,2025-03-31,50,5000
MDA382,2025-04-01,1,5000
MDA382,2025-04-02,24,5000
MDA382,2025-04-03,17,5000
MDA382,2025-04-04,9,5000
MDA382,2025-04-05,23,5000
MDA382,2025-04-06,13,5000
MDA382,2025-04-07,7,5000
MDA382,2025-04-08,47,5000
MDA382,2025-04-09,20,5000
MDA382,2025-04-10,4,5000
MDA382,2025-04-11,8,5000
MDA382,2025-04-12,16,5000
MDA382,2025-04-13,7,5000
MDA382,2025-04-14,5,5000
MDA382,2025-04-15,30,5000
MDA382,2025-04-16,34,5000
MDA382,2025-04-17,16,5000
MDA382,2025-04-18,14,5000
MDA382,2025-04-19,9,5000
MDA382,2025-04-20,44,5000
MDA382,2025-04-21,15,5000
MDA382,2025-04-22,41,5000
MDA382,2025-04-23,43,5000
MDA382,2025-04-24,44,5000
MDA382,2025-04-25,11,5000
MDA382,2025-04-26,24,5000
MDA382,2025-04-27,21,5000
MDA382,2025-04-28,10,5000
MDA382,2025-04-29,32,5000
MDA382,2025-04-30,35,5000
MDA382,2025-05-01,36,5000
MDA382,2025-05-02,4,5000
MDA382,2025-05-03,33,5000
MDA382,2025-05-04,13,5000
MDA382,2025-05-05,6,5000
MDA382,2025-05-06,10,5000
MDA382,2025-05-07,45,5000
MDA382,2025-05-08,18,5000
MDA382,2025-05-09,43,5000
MDA382,2025-05-10,23,5000
MDA382,2025-05-11,22,5000
MDA382,2025-05-12,24,5000
MDA382,2025-05-13,10,5000
MDA382,2025-05-14,36,5000
MDA382,2025-05-15,40,5000
MDA382,2025-05-16,21,5000
MDA382,2025-05-17,32,5000
MDA382,2025-05-18,22,5000
MDA382,2025-05-19,38,5000
MDA382,2025-05-20,34,5000
MDA382,2025-05-21,6,5000
MDA382,2025-05-22,37,5000
MDA382,2025-05-23,28,5000
MDA382,2025-05-24,3,5000
